Sel ternaire	MXO	Ba(IO3)2	Ba(IO{_3})_{2}	iodate de baryum	487	0,035
Sel ternaire	MXO	TlNO3	TlNO{_3}	nitrate de thallium(I)	266	9,55
Sel ternaire	MXO	(NH4)2CO3	{NH_{4}}_{2}CO{_3}	carbonate d'ammonium	96	100
Sel ternaire	MXO	CsBrO3	CsBrO{_3}	bromate de césium	261	3,66
Sel ternaire	MXO	AgMnO4	AgMnO{_4}	permanganate d'argent(I)	227	0,9
Sel ternaire	MXO	KClO4	KClO{_4}	perchlorate de potassium	138	1,68
Sel ternaire	MXO	AgNO2	AgNO{_2}	nitrite d'argent(I)	154	0,34
Sel ternaire	MXO	Co(NO3)2	Co(NO{_3})_{2}	nitrate de cobalt(II)	183	97,4
Sel ternaire	MXO	Pb(BrO3)2	Pb(BrO{_3})_{2}	bromate de plomb(II)	463	7,92
Sel ternaire	MXO	Zn(MnO4)2	Zn(MnO{_4})_{2}	permanganate de zinc(II)	303	33,3
Sel ternaire	MXO	NaBrO3	NaBrO{_3}	bromate de sodium	151	36,4
Sel ternaire	MXO	Rb2CrO4	Rb_{2}CrO{_4}	chromate de rubidium	286	73,6
Sel binaire	MX	CsCl	CsCl	chlorure de césium	168	187
Sel ternaire	MXO	TlClO3	TlClO{_3}	chlorate de thallium(I)	287	3,92
Sel ternaire	MXO	AgClO4	AgClO{_4}	perchlorate d'argent(I)	207	532,9
Sel ternaire	MXO	Ba(ClO2)2	Ba(ClO{_2})_{2}	chlorite de baryum	271	45,4
Sel ternaire	MXO	CsClO4	CsClO{_4}	perchlorate de césium	232	1,6
Sel ternaire	MXO	Tl2CO3	Tl_{2}CO{_3}	carbonate de thallium(I)	468	5,3
Sel ternaire	MXO	RbClO4	RbClO{_4}	perchlorate de rubidium	184	1,55
Sel ternaire	MXO	Pb(NO3)2	Pb(NO{_3})_{2}	nitrate de plomb(II)	331	54,3
